AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
LOW,Internet/Voice,So Cal South,"04 [1.1254, 1.9139]","09 [40.36, 1134.70]","04 [0.41, 0.59]",350,0.000000,0.0004020994315
ZERO,Video/Internet/Voice,Western NC,NULL,"03 [5.13, 8.53]","05 [0.59, 0.81]",1079,0.001854,0.001640636428
HIGH,Video/Internet,Minnesota,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","07 [1.13, 1.65]",266,0.000000,0.0008038880382
LOW,Internet Only,Central Texas,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","09 [2.80, 440.64]",1432,0.001397,0.0004140923905
ZERO,Video/Internet,Western NC,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","06 [0.81, 1.13]",380,0.002632,0.001600454999
ZERO,Video/Internet,Western NC,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","03 [0.26, 0.41]",472,0.000000,0.001512245844
ZERO,Internet Only,So Cal North,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","07 [1.13, 1.65]",119,0.000000,0.0007051852946
ZERO,Internet Only,TN / LA / AL,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","06 [0.81, 1.13]",697,0.001435,0.0008182557764
LOW,Video/Internet,East Central Florida,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","06 [0.81, 1.13]",863,0.002317,0.0008771270658
ZERO,Video/Internet/Voice,South Texas,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","01 [0.009, 0.13]",187,0.016043,0.002332704904
HIGH,Internet Only,South Manhattan,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","05 [0.59, 0.81]",809,0.000000,0.0003420122062
LOW,Video/Internet/Voice,Northern Ohio,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","07 [1.13, 1.65]",409,0.000000,0.0008866979666
LOW,Video/Internet/Voice,West Florida,NULL,"01 [0.02, 2.13]","02 [0.13, 0.26]",155,0.000000,0.00196497748
LOW,Internet/Voice,Sierra Nevada,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","07 [1.13, 1.65]",133,0.000000,0.0004477491327
> 0.95,Video/Internet,Central NY,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",5,0.000000,0.001789658493
> 0.95,Video/Internet,"Greenville, SC / Georgia","04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",19,0.000000,0.001248227408
ZERO,Internet Only,So Cal Central,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",1,0.000000,0.0005045010198
